label,count_dots,count_delimiters,is_domain_ip,is_hyphen_present,count_sub_dir,count_sub_domain,count_queries,shady_tld,is_suspicious_part_hidden,is_tiny_url,anchor_in_url
1,4,1,0,1,2,2,0,0,1,0,0.2
1,3,1,0,1,2,2,0,0,1,0,0.0
1,3,1,0,1,2,2,0,0,1,0,0.0
1,3,1,0,1,2,2,0,0,1,0,0.0
1,4,1,0,1,2,2,0,0,1,0,0.2
1,3,1,0,1,2,2,0,0,1,0,0.0
1,1,0,0,0,0,0,0,0,0,0,0.0
1,1,0,0,0,7,0,0,0,1,0,1.0
1,3,1,0,1,2,2,0,0,1,0,0.0
1,2,0,0,5,1,0,0,0,0,0,-1.0
1,2,0,0,0,1,1,0,0,0,0,-1.0
1,2,0,0,0,2,1,0,0,0,0,-1.0
1,7,4,0,0,3,1,2,0,1,0,-1.0
1,3,17,0,0,1,1,4,0,1,0,-1.0
1,5,0,0,3,2,3,0,0,1,0,-1.0
1,5,0,0,3,2,3,0,0,1,0,-1.0
1,4,0,0,3,2,3,0,0,1,0,-1.0
1,2,9,0,0,4,0,3,0,1,0,0.0
1,3,1,0,1,8,1,1,0,1,0,-1.0
1,3,0,0,1,8,1,0,0,1,0,-1.0
1,5,0,0,2,5,1,0,0,1,0,-1.0
1,5,0,0,1,5,1,0,0,1,0,-1.0
1,4,0,1,0,3,0,0,1,0,0,0.0
1,2,0,0,1,3,0,0,0,0,0,0.0
1,2,0,0,0,1,1,0,0,0,0,-1.0
1,2,0,0,0,0,1,0,0,0,0,-1.0
1,3,0,0,1,1,1,0,0,0,0,0.0
1,4,1,0,1,2,2,0,1,1,0,-1.0
1,3,1,0,1,2,2,0,1,1,0,-1.0
1,3,7,0,0,6,0,2,0,1,0,1.0
1,2,0,0,0,3,1,0,0,0,0,0.142857
1,3,0,0,0,3,1,0,0,0,0,0.142857
1,2,0,0,1,2,1,0,0,0,0,-1.0
1,4,2,0,0,3,1,1,0,1,0,0.15
1,4,0,0,0,3,1,0,0,0,0,0.173913
