id,sha256,label,count_dots,count_delimiters,is_domain_ip,is_hyphen_present,count_sub_dir,count_sub_domain,count_queries,shady_tld,is_suspicious_part_hidden,is_tiny_url,url
15884,82b3f490a3a9a7c65867ae05bc07ed0e640db318f4390f3accfb6d42d7312280,1,2,0,0,0,0,1,0,0,0,0,https://www.youobmen.pro
15885,eb1065388ff274ff09b94c674a07da8753c1abfff48cc8dbc6936868f7d79e29,1,2,0,0,0,1,1,0,0,0,0,http://www.24paycoin.pro/
15886,4bf79923c84eacf255d64fc99d5a87b917b5059b139d36c7cde64fc2f7891f79,1,3,1,0,1,2,2,0,0,1,0,"https://services.runescape.com-ex.ru/m=weblogin/loginform338,984,863,24721494,708"
15887,a978f57c1d6d912cef9b007b6828b11cfc26e3b4295a73f3d5aae365d40a021f,1,3,0,0,0,5,2,0,0,0,0,https://gyt.continental.gentebella.icu/a/gty/portal/portal/
15888,2fa709bd4035705d98eb8c1b574cc67ec815834073bb5193d7aa6ca0c217c7aa,1,2,0,0,1,1,0,0,0,0,0,https://prooetection-paegessiestem.gq/SECURE.html
15889,ce06e06f1782ba8f2b4f18b05e48364fca9df041e720e03b8bc7811fb397026f,1,3,1,0,1,2,2,0,0,1,0,"https://services.runescape.com-ex.ru/m=weblogin/loginform522,777,825,21854832,1948"
15890,3a7fe07612d9a10a5d7fec59cc70da8dbbc16ba469010abdf0511a6edb060158,1,4,1,0,1,2,2,0,0,1,0,"https://secure.runescape.com-a.cz/m=weblogin/loginform.ws546,270,566,74013481,12"
15891,38ec283f7716bafdab3088327b0bf130a801549055ade37ba4f58daec2482041,1,4,1,0,1,2,2,0,0,0,0,"https://secure.runescape.com-a.cz/m=weblogin/loginform.ws249,436,857,206,11"
15892,aeff42f6c060200f3fc244f169b60d3338e895ac8d8d89bf1bca4ce0a1f918d2,1,2,1,0,0,3,1,0,0,1,0,https://en.nwaar.club/IL/ea9e1756a3b4bfc2ccf4a87d20231199MjJmMmE4Y2FiOThlZTI2OGY1YjZlZmJkZDgyM2NmYzk=/
15893,a433b7a18e0a9766691f7dd31e2e6d9575de068d5d4a3cb8f1f5ae226c2946e3,1,2,0,0,1,2,1,0,0,0,0,http://applications-setting.16mb.com/facebook/
15894,558fc84955b9580a5008104237e1291cf7f110121f70f6c2f9e5655f0857c322,1,2,0,0,1,1,1,0,0,0,0,http://applications-setting.16mb.com/facebook-support
15895,255fe0e14e40edb730e6ab65210afedbe55a4478d2ae7a64b01bd87863fb96a2,1,1,0,0,0,2,0,0,0,0,0,https://yourwillbeeredirectedto.net/locate/
15896,2c0d5f205cd5e706f8edbf1ab99bf52cd9bd4a31e3f014fadac16a5e49409962,1,1,0,0,1,2,0,0,0,0,0,http://paytrustverificatio-accounmail.com/service/
15897,7d4c7a969ed08de998f2ca03c6d1cca8f031f973510c58c0d6227620fd71bd61,1,1,1,0,0,7,0,0,0,1,0,http://balajioverseas.org/connection/login/customer_center/customer-IDPP00C173/myaccount/signin/
15898,59055eb21af239e2bf090f0c6dfc66dc3f155c2766528f04484b9e4e678357f7,1,2,0,0,0,3,1,0,0,0,0,https://sites.google.com/site/apconfreimscures/
15899,58cc390bc1373b6a5815d761e42f133304280fbb9a63f6c44be5f65f132c1ba8,1,3,0,0,0,1,1,0,0,0,0,https://spoercrs.000webhostapp.com/fb-scures.htm
15900,6914ed771be57780677d5c0759a90fbd8ea66447adf2b226cdbbc6dc4bdbc183,1,1,0,0,0,1,0,0,0,1,0,http://telegra.ph/Manual-unblocking-procedure-for-block-of-transaction-due-to-jam-on-mempool-01-09
15901,e384a0dc03a911b223b761c57703a7e99d2865f28d854020f78aef29f712de6c,1,3,2,0,0,1,1,1,0,0,0,http://finacarme.altervista.org/index.html?platform=hootsuite
