label,count_dots,count_delimiters,is_domain_ip,is_hyphen_present,count_sub_dir,count_sub_domain,count_queries,shady_tld,is_suspicious_part_hidden,is_tiny_url
1,2,0,0,0,0,1,0,0,0,0
1,2,0,0,0,1,1,0,0,0,0
1,3,1,0,1,2,2,0,0,1,0
1,3,0,0,0,5,2,0,0,0,0
1,2,0,0,1,1,0,0,0,0,0
1,3,1,0,1,2,2,0,0,1,0
1,4,1,0,1,2,2,0,0,1,0
1,4,1,0,1,2,2,0,0,0,0
1,2,1,0,0,3,1,0,0,1,0
1,2,0,0,1,2,1,0,0,0,0
1,2,0,0,1,1,1,0,0,0,0
1,1,0,0,0,2,0,0,0,0,0
1,1,0,0,1,2,0,0,0,0,0
1,1,1,0,0,7,0,0,0,1,0
1,2,0,0,0,3,1,0,0,0,0
1,3,0,0,0,1,1,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0
1,3,2,0,0,1,1,1,0,0,0
1,1,0,0,0,1,0,0,0,1,0
1,2,0,0,0,3,1,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0
1,4,4,0,0,5,1,1,0,1,0
1,3,6,0,0,7,0,2,0,1,0
1,1,2,0,0,6,0,0,0,1,0
1,1,0,0,1,1,0,0,0,0,0
1,2,1,0,0,4,0,0,0,1,0
1,2,0,0,0,3,0,0,0,0,0
1,4,1,0,1,2,2,0,0,1,0
1,3,0,0,0,4,0,0,0,0,0
1,2,0,0,0,5,0,0,0,1,0
1,2,0,0,0,3,0,0,0,0,0
1,4,1,0,1,2,2,0,0,1,0
1,4,1,0,1,2,2,0,0,1,0
1,4,1,0,1,2,2,0,0,1,0
1,1,0,0,1,0,0,0,0,0,0
1,2,0,0,0,1,1,0,0,0,0
1,2,0,0,0,1,1,0,0,0,0
1,2,0,0,1,0,1,0,1,0,0
1,2,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,2,0,0,0,1,1,0,0,0,0
1,2,0,0,0,1,1,0,0,0,0
1,2,1,0,1,6,1,0,0,1,0
1,4,6,0,0,6,1,2,0,1,0
1,3,0,0,0,5,0,0,0,0,0
1,2,0,0,0,4,0,0,0,0,0
1,2,0,0,0,4,0,0,0,1,0
1,2,0,0,0,3,1,0,0,0,0
1,4,1,0,1,2,2,0,0,0,0
1,4,1,0,1,2,2,0,0,1,0
1,3,1,0,1,2,2,0,0,1,0
1,5,4,0,3,11,2,0,0,1,0
1,1,0,0,0,2,0,0,0,0,0
1,2,0,0,0,2,0,0,0,0,0
1,3,0,0,0,3,1,0,0,0,0
1,4,0,1,0,4,0,0,1,0,0
1,2,5,0,1,5,0,2,0,1,0
1,7,20,0,0,2,3,7,0,1,0
1,2,0,0,0,2,0,0,0,0,0
1,2,0,0,0,5,0,0,0,0,0
1,2,1,0,0,6,0,0,0,1,0
